"","treatment","jar_id","day","site","jar_count","replicate","count","is_decreasing","is_all_decreasing"
"4154","14C",11,3,"CI5",543,58,29,TRUE,TRUE
"4155","14C",11,6,"CI5",293,58,17,TRUE,TRUE
"4156","14C",11,9,"CI5",139,58,6,TRUE,TRUE
"4157","14C",11,11,"CI5",116,58,8,TRUE,TRUE
"4158","14C",11,14,"CI5",115,58,4,TRUE,TRUE
"4159","14C",11,1,"CI5",671,61,48,TRUE,TRUE
"4160","14C",11,3,"CI5",521,61,29,TRUE,TRUE
"4161","14C",11,6,"CI5",294,61,17,TRUE,TRUE
"4162","14C",11,9,"CI5",139,61,6,TRUE,TRUE
"4163","14C",11,11,"CI5",105,61,8,TRUE,TRUE
"4164","14C",11,14,"CI5",35,61,4,TRUE,TRUE
"4165","14C",11,1,"CI5",622,65,48,TRUE,TRUE
"4166","14C",11,3,"CI5",497,65,29,TRUE,TRUE
"4167","14C",11,6,"CI5",298,65,17,TRUE,TRUE
"4168","14C",11,9,"CI5",186,65,6,TRUE,TRUE
"4169","14C",11,11,"CI5",96,65,8,TRUE,TRUE
"4170","14C",11,14,"CI5",76,65,4,TRUE,TRUE
"4171","14C",11,1,"CI5",941,68,48,TRUE,TRUE
"4172","14C",11,3,"CI5",441,68,29,TRUE,TRUE
"4173","14C",11,6,"CI5",197,68,17,TRUE,TRUE
"4174","14C",11,9,"CI5",102,68,6,TRUE,TRUE
"4175","14C",11,11,"CI5",97,68,8,TRUE,TRUE
"4176","14C",11,14,"CI5",76,68,4,TRUE,TRUE
"4177","14C",11,1,"CI5",844,70,48,TRUE,TRUE
"4178","14C",11,3,"CI5",488,70,29,TRUE,TRUE
"4179","14C",11,6,"CI5",242,70,17,TRUE,TRUE
"4180","14C",11,9,"CI5",236,70,6,TRUE,TRUE
"4181","14C",11,11,"CI5",142,70,8,TRUE,TRUE
"4182","14C",11,14,"CI5",122,70,4,TRUE,TRUE
"4183","14C",11,1,"CI5",627,72,48,TRUE,TRUE
"4184","14C",11,3,"CI5",566,72,29,TRUE,TRUE
"4185","14C",11,6,"CI5",320,72,17,TRUE,TRUE
"4186","14C",11,9,"CI5",158,72,6,TRUE,TRUE
"4187","14C",11,11,"CI5",144,72,8,TRUE,TRUE
"4188","14C",11,14,"CI5",63,72,4,TRUE,TRUE
"4189","14C",11,1,"CI5",999,79,48,TRUE,TRUE
"4190","14C",11,3,"CI5",670,79,29,TRUE,TRUE
"4191","14C",11,6,"CI5",300,79,17,TRUE,TRUE
"4192","14C",11,9,"CI5",195,79,6,TRUE,TRUE
"4193","14C",11,11,"CI5",127,79,8,TRUE,TRUE
"4194","14C",11,14,"CI5",56,79,4,TRUE,TRUE
"4195","14C",11,1,"CI5",1030,84,48,TRUE,TRUE
"4196","14C",11,3,"CI5",456,84,29,TRUE,TRUE
"4197","14C",11,6,"CI5",273,84,17,TRUE,TRUE
"4198","14C",11,9,"CI5",165,84,6,TRUE,TRUE
"4199","14C",11,11,"CI5",125,84,8,TRUE,TRUE
"4200","14C",11,14,"CI5",79,84,4,TRUE,TRUE
"4201","14C",11,1,"CI5",631,91,48,TRUE,TRUE
"4202","14C",11,3,"CI5",484,91,29,TRUE,TRUE
"4203","14C",11,6,"CI5",213,91,17,TRUE,TRUE
"4204","14C",11,9,"CI5",145,91,6,TRUE,TRUE
"4205","14C",11,11,"CI5",131,91,8,TRUE,TRUE
"4206","14C",11,14,"CI5",63,91,4,TRUE,TRUE
"4207","14C",11,1,"CI5",592,92,48,TRUE,TRUE
"4208","14C",11,3,"CI5",552,92,29,TRUE,TRUE
"4209","14C",11,6,"CI5",209,92,17,TRUE,TRUE
"4210","14C",11,9,"CI5",180,92,6,TRUE,TRUE
"4211","14C",11,11,"CI5",147,92,8,TRUE,TRUE
"4212","14C",11,14,"CI5",87,92,4,TRUE,TRUE
"4213","14C",11,1,"CI5",885,95,48,TRUE,TRUE
"4214","14C",11,3,"CI5",601,95,29,TRUE,TRUE
"4215","14C",11,6,"CI5",367,95,17,TRUE,TRUE
"4216","14C",11,9,"CI5",201,95,6,TRUE,TRUE
"4217","14C",11,11,"CI5",94,95,8,TRUE,TRUE
"4218","14C",11,14,"CI5",52,95,4,TRUE,TRUE
"4219","14C",11,1,"CI5",1029,98,48,TRUE,TRUE
"4220","14C",11,3,"CI5",387,98,29,TRUE,TRUE
"4221","14C",11,6,"CI5",246,98,17,TRUE,TRUE
"4222","14C",11,9,"CI5",244,98,6,TRUE,TRUE
"4223","14C",11,11,"CI5",91,98,8,TRUE,TRUE
"4224","14C",11,14,"CI5",50,98,4,TRUE,TRUE
"4225","14C",11,1,"CI5",913,105,48,TRUE,TRUE
"4226","14C",11,3,"CI5",434,105,29,TRUE,TRUE
"4227","14C",11,6,"CI5",213,105,17,TRUE,TRUE
"4228","14C",11,9,"CI5",179,105,6,TRUE,TRUE
"4229","14C",11,11,"CI5",118,105,8,TRUE,TRUE
"4230","14C",11,14,"CI5",76,105,4,TRUE,TRUE
"4231","14C",11,1,"CI5",818,121,48,TRUE,TRUE
"4232","14C",11,3,"CI5",564,121,29,TRUE,TRUE
"4233","14C",11,6,"CI5",253,121,17,TRUE,TRUE
"4234","14C",11,9,"CI5",130,121,6,TRUE,TRUE
"4235","14C",11,11,"CI5",130,121,8,TRUE,TRUE
"4236","14C",11,14,"CI5",105,121,4,TRUE,TRUE
"4237","14C",11,1,"CI5",760,128,48,TRUE,TRUE
"4238","14C",11,3,"CI5",542,128,29,TRUE,TRUE
"4239","14C",11,6,"CI5",283,128,17,TRUE,TRUE
"4240","14C",11,9,"CI5",197,128,6,TRUE,TRUE
"4241","14C",11,11,"CI5",120,128,8,TRUE,TRUE
"4242","14C",11,14,"CI5",95,128,4,TRUE,TRUE
"4243","14C",11,1,"CI5",957,130,48,TRUE,TRUE
"4244","14C",11,3,"CI5",407,130,29,TRUE,TRUE
"4245","14C",11,6,"CI5",289,130,17,TRUE,TRUE
"4246","14C",11,9,"CI5",151,130,6,TRUE,TRUE
"4247","14C",11,11,"CI5",106,130,8,TRUE,TRUE
"4248","14C",11,14,"CI5",99,130,4,TRUE,TRUE
"4249","14C",11,1,"CI5",673,134,48,TRUE,TRUE
"4250","14C",11,3,"CI5",434,134,29,TRUE,TRUE
"4251","14C",11,6,"CI5",348,134,17,TRUE,TRUE
"4252","14C",11,9,"CI5",148,134,6,TRUE,TRUE
"4253","14C",11,11,"CI5",133,134,8,TRUE,TRUE
"4254","14C",11,14,"CI5",96,134,4,TRUE,TRUE
"4255","14C",11,1,"CI5",980,141,48,TRUE,TRUE
"4256","14C",11,3,"CI5",600,141,29,TRUE,TRUE
"4257","14C",11,6,"CI5",334,141,17,TRUE,TRUE
"4258","14C",11,9,"CI5",144,141,6,TRUE,TRUE
"4259","14C",11,11,"CI5",124,141,8,TRUE,TRUE
"4260","14C",11,14,"CI5",80,141,4,TRUE,TRUE
"4261","14C",11,1,"CI5",775,151,48,TRUE,TRUE
"4262","14C",11,3,"CI5",522,151,29,TRUE,TRUE
"4263","14C",11,6,"CI5",273,151,17,TRUE,TRUE
"4264","14C",11,9,"CI5",121,151,6,TRUE,TRUE
"4265","14C",11,11,"CI5",108,151,8,TRUE,TRUE
"4266","14C",11,14,"CI5",65,151,4,TRUE,TRUE
"4267","14C",11,1,"CI5",835,156,48,TRUE,TRUE
"4268","14C",11,3,"CI5",679,156,29,TRUE,TRUE
"4269","14C",11,6,"CI5",304,156,17,TRUE,TRUE
"4270","14C",11,9,"CI5",115,156,6,TRUE,TRUE
"4271","14C",11,11,"CI5",114,156,8,TRUE,TRUE
"4272","14C",11,14,"CI5",66,156,4,TRUE,TRUE
"4273","14C",11,1,"CI5",616,164,48,TRUE,TRUE
"4274","14C",11,3,"CI5",459,164,29,TRUE,TRUE
"4275","14C",11,6,"CI5",323,164,17,TRUE,TRUE
"4276","14C",11,9,"CI5",184,164,6,TRUE,TRUE
"4277","14C",11,11,"CI5",135,164,8,TRUE,TRUE
"4278","14C",11,14,"CI5",47,164,4,TRUE,TRUE
"4279","14C",11,1,"CI5",813,165,48,TRUE,TRUE
"4280","14C",11,3,"CI5",434,165,29,TRUE,TRUE
"4281","14C",11,6,"CI5",347,165,17,TRUE,TRUE
"4282","14C",11,9,"CI5",221,165,6,TRUE,TRUE
"4283","14C",11,11,"CI5",157,165,8,TRUE,TRUE
"4284","14C",11,14,"CI5",43,165,4,TRUE,TRUE
"4285","14C",11,1,"CI5",817,170,48,TRUE,TRUE
"4286","14C",11,3,"CI5",535,170,29,TRUE,TRUE
"4287","14C",11,6,"CI5",278,170,17,TRUE,TRUE
"4288","14C",11,9,"CI5",142,170,6,TRUE,TRUE
"4289","14C",11,11,"CI5",135,170,8,TRUE,TRUE
"4290","14C",11,14,"CI5",42,170,4,TRUE,TRUE
"4291","14C",11,1,"CI5",701,172,48,TRUE,TRUE
"4292","14C",11,3,"CI5",510,172,29,TRUE,TRUE
"4293","14C",11,6,"CI5",346,172,17,TRUE,TRUE
"4294","14C",11,9,"CI5",188,172,6,TRUE,TRUE
"4295","14C",11,11,"CI5",119,172,8,TRUE,TRUE
"4296","14C",11,14,"CI5",106,172,4,TRUE,TRUE
"4297","14C",11,1,"CI5",882,173,48,TRUE,TRUE
"4298","14C",11,3,"CI5",407,173,29,TRUE,TRUE
"4299","14C",11,6,"CI5",227,173,17,TRUE,TRUE
"4300","14C",11,9,"CI5",154,173,6,TRUE,TRUE
"4301","14C",11,11,"CI5",148,173,8,TRUE,TRUE
"4302","14C",11,14,"CI5",69,173,4,TRUE,TRUE
"4303","14C",11,1,"CI5",966,184,48,TRUE,TRUE
"4304","14C",11,3,"CI5",429,184,29,TRUE,TRUE
"4305","14C",11,6,"CI5",325,184,17,TRUE,TRUE
"4306","14C",11,9,"CI5",116,184,6,TRUE,TRUE
"4307","14C",11,11,"CI5",89,184,8,TRUE,TRUE
"4308","14C",11,14,"CI5",69,184,4,TRUE,TRUE
"4309","14C",11,1,"CI5",926,189,48,TRUE,TRUE
"4310","14C",11,3,"CI5",394,189,29,TRUE,TRUE
"4311","14C",11,6,"CI5",249,189,17,TRUE,TRUE
"4312","14C",11,9,"CI5",125,189,6,TRUE,TRUE
"4313","14C",11,11,"CI5",125,189,8,TRUE,TRUE
"4314","14C",11,14,"CI5",122,189,4,TRUE,TRUE
"4315","14C",11,1,"CI5",705,191,48,TRUE,TRUE
"4316","14C",11,3,"CI5",605,191,29,TRUE,TRUE
"4317","14C",11,6,"CI5",248,191,17,TRUE,TRUE
"4318","14C",11,9,"CI5",230,191,6,TRUE,TRUE
"4319","14C",11,11,"CI5",152,191,8,TRUE,TRUE
"4320","14C",11,14,"CI5",79,191,4,TRUE,TRUE
"4321","14C",11,1,"CI5",795,200,48,TRUE,TRUE
"4322","14C",11,3,"CI5",731,200,29,TRUE,TRUE
"4323","14C",11,6,"CI5",270,200,17,TRUE,TRUE
"4324","14C",11,9,"CI5",140,200,6,TRUE,TRUE
"4325","14C",11,11,"CI5",138,200,8,TRUE,TRUE
"4326","14C",11,14,"CI5",68,200,4,TRUE,TRUE
"4327","14C",11,1,"CI5",753,210,48,TRUE,TRUE
"4328","14C",11,3,"CI5",553,210,29,TRUE,TRUE
"4329","14C",11,6,"CI5",411,210,17,TRUE,TRUE
"4330","14C",11,9,"CI5",120,210,6,TRUE,TRUE
"4331","14C",11,11,"CI5",106,210,8,TRUE,TRUE
"4332","14C",11,14,"CI5",74,210,4,TRUE,TRUE
"4333","14C",11,1,"CI5",887,212,48,TRUE,TRUE
"4334","14C",11,3,"CI5",686,212,29,TRUE,TRUE
"4335","14C",11,6,"CI5",225,212,17,TRUE,TRUE
"4336","14C",11,9,"CI5",113,212,6,TRUE,TRUE
"4337","14C",11,11,"CI5",83,212,8,TRUE,TRUE
"4338","14C",11,14,"CI5",60,212,4,TRUE,TRUE
"4339","14C",11,1,"CI5",686,213,48,TRUE,TRUE
"4340","14C",11,3,"CI5",333,213,29,TRUE,TRUE
"4341","14C",11,6,"CI5",224,213,17,TRUE,TRUE
"4342","14C",11,9,"CI5",181,213,6,TRUE,TRUE
"4343","14C",11,11,"CI5",124,213,8,TRUE,TRUE
"4344","14C",11,14,"CI5",74,213,4,TRUE,TRUE
"4345","14C",11,1,"CI5",904,219,48,TRUE,TRUE
"4346","14C",11,3,"CI5",478,219,29,TRUE,TRUE
"4347","14C",11,6,"CI5",242,219,17,TRUE,TRUE
"4348","14C",11,9,"CI5",114,219,6,TRUE,TRUE
"4349","14C",11,11,"CI5",113,219,8,TRUE,TRUE
"4350","14C",11,14,"CI5",79,219,4,TRUE,TRUE
"4351","14C",11,1,"CI5",778,224,48,TRUE,TRUE
"4352","14C",11,3,"CI5",560,224,29,TRUE,TRUE
"4353","14C",11,6,"CI5",293,224,17,TRUE,TRUE
"4354","14C",11,9,"CI5",186,224,6,TRUE,TRUE
"4355","14C",11,11,"CI5",168,224,8,TRUE,TRUE
"4356","14C",11,14,"CI5",44,224,4,TRUE,TRUE
"4357","14C",11,1,"CI5",645,231,48,TRUE,TRUE
"4358","14C",11,3,"CI5",589,231,29,TRUE,TRUE
"4359","14C",11,6,"CI5",190,231,17,TRUE,TRUE
"4360","14C",11,9,"CI5",159,231,6,TRUE,TRUE
"4361","14C",11,11,"CI5",148,231,8,TRUE,TRUE
"4362","14C",11,14,"CI5",103,231,4,TRUE,TRUE
"4363","14C",11,1,"CI5",845,239,48,TRUE,TRUE
"4364","14C",11,3,"CI5",375,239,29,TRUE,TRUE
"4365","14C",11,6,"CI5",284,239,17,TRUE,TRUE
"4366","14C",11,9,"CI5",100,239,6,TRUE,TRUE
"4367","14C",11,11,"CI5",100,239,8,TRUE,TRUE
"4368","14C",11,14,"CI5",79,239,4,TRUE,TRUE
"4369","14C",11,1,"CI5",803,244,48,TRUE,TRUE
"4370","14C",11,3,"CI5",507,244,29,TRUE,TRUE
"4371","14C",11,6,"CI5",257,244,17,TRUE,TRUE
"4372","14C",11,9,"CI5",177,244,6,TRUE,TRUE
"4373","14C",11,11,"CI5",88,244,8,TRUE,TRUE
"4374","14C",11,14,"CI5",63,244,4,TRUE,TRUE
"4375","14C",11,1,"CI5",735,245,48,TRUE,TRUE
"4376","14C",11,3,"CI5",453,245,29,TRUE,TRUE
"4377","14C",11,6,"CI5",340,245,17,TRUE,TRUE
"4378","14C",11,9,"CI5",150,245,6,TRUE,TRUE
"4379","14C",11,11,"CI5",137,245,8,TRUE,TRUE
"4380","14C",11,14,"CI5",69,245,4,TRUE,TRUE
"4381","14C",11,1,"CI5",786,251,48,TRUE,TRUE
"4382","14C",11,3,"CI5",373,251,29,TRUE,TRUE
"4383","14C",11,6,"CI5",231,251,17,TRUE,TRUE
"4384","14C",11,9,"CI5",108,251,6,TRUE,TRUE
"4385","14C",11,11,"CI5",107,251,8,TRUE,TRUE
"4386","14C",11,14,"CI5",28,251,4,TRUE,TRUE
"4387","14C",11,1,"CI5",722,253,48,TRUE,TRUE
"4388","14C",11,3,"CI5",470,253,29,TRUE,TRUE
"4389","14C",11,6,"CI5",302,253,17,TRUE,TRUE
"4390","14C",11,9,"CI5",190,253,6,TRUE,TRUE
"4391","14C",11,11,"CI5",147,253,8,TRUE,TRUE
"4392","14C",11,14,"CI5",99,253,4,TRUE,TRUE
"4393","14C",11,1,"CI5",928,261,48,TRUE,TRUE
"4394","14C",11,3,"CI5",529,261,29,TRUE,TRUE
"4395","14C",11,6,"CI5",254,261,17,TRUE,TRUE
"4396","14C",11,9,"CI5",207,261,6,TRUE,TRUE
"4397","14C",11,11,"CI5",139,261,8,TRUE,TRUE
"4398","14C",11,14,"CI5",56,261,4,TRUE,TRUE
"4399","14C",11,1,"CI5",711,266,48,TRUE,TRUE
"4400","14C",11,3,"CI5",492,266,29,TRUE,TRUE
"4401","14C",11,6,"CI5",288,266,17,TRUE,TRUE
"4402","14C",11,9,"CI5",133,266,6,TRUE,TRUE
"4403","14C",11,11,"CI5",98,266,8,TRUE,TRUE
"4404","14C",11,14,"CI5",80,266,4,TRUE,TRUE
"4405","14C",11,1,"CI5",731,274,48,TRUE,TRUE
"4406","14C",11,3,"CI5",524,274,29,TRUE,TRUE
"4407","14C",11,6,"CI5",426,274,17,TRUE,TRUE
"4408","14C",11,9,"CI5",183,274,6,TRUE,TRUE
"4409","14C",11,11,"CI5",158,274,8,TRUE,TRUE
"4410","14C",11,14,"CI5",64,274,4,TRUE,TRUE
"4411","14C",11,1,"CI5",881,279,48,TRUE,TRUE
"4412","14C",11,3,"CI5",444,279,29,TRUE,TRUE
"4413","14C",11,6,"CI5",312,279,17,TRUE,TRUE
"4414","14C",11,9,"CI5",169,279,6,TRUE,TRUE
"4415","14C",11,11,"CI5",109,279,8,TRUE,TRUE
"4416","14C",11,14,"CI5",84,279,4,TRUE,TRUE
"4417","14C",11,1,"CI5",968,280,48,TRUE,TRUE
"4418","14C",11,3,"CI5",525,280,29,TRUE,TRUE
"4419","14C",11,6,"CI5",258,280,17,TRUE,TRUE
"4420","14C",11,9,"CI5",170,280,6,TRUE,TRUE
"4421","14C",11,11,"CI5",159,280,8,TRUE,TRUE
"4422","14C",11,14,"CI5",31,280,4,TRUE,TRUE
"4423","14C",11,1,"CI5",712,284,48,TRUE,TRUE
"4424","14C",11,3,"CI5",505,284,29,TRUE,TRUE
"4425","14C",11,6,"CI5",223,284,17,TRUE,TRUE
"4426","14C",11,9,"CI5",171,284,6,TRUE,TRUE
"4427","14C",11,11,"CI5",139,284,8,TRUE,TRUE
"4428","14C",11,14,"CI5",79,284,4,TRUE,TRUE
"4429","14C",11,1,"CI5",766,290,48,TRUE,TRUE
"4430","14C",11,3,"CI5",452,290,29,TRUE,TRUE
"4431","14C",11,6,"CI5",418,290,17,TRUE,TRUE
"4432","14C",11,9,"CI5",167,290,6,TRUE,TRUE
"4433","14C",11,11,"CI5",71,290,8,TRUE,TRUE
"4434","14C",11,14,"CI5",66,290,4,TRUE,TRUE
"4435","14C",11,1,"CI5",901,293,48,TRUE,TRUE
"4436","14C",11,3,"CI5",528,293,29,TRUE,TRUE
"4437","14C",11,6,"CI5",284,293,17,TRUE,TRUE
"4438","14C",11,9,"CI5",185,293,6,TRUE,TRUE
"4439","14C",11,11,"CI5",122,293,8,TRUE,TRUE
"4440","14C",11,14,"CI5",65,293,4,TRUE,TRUE
"4441","14C",11,1,"CI5",1009,301,48,TRUE,TRUE
"4442","14C",11,3,"CI5",559,301,29,TRUE,TRUE
"4443","14C",11,6,"CI5",251,301,17,TRUE,TRUE
"4444","14C",11,9,"CI5",117,301,6,TRUE,TRUE
"4445","14C",11,11,"CI5",101,301,8,TRUE,TRUE
"4446","14C",11,14,"CI5",78,301,4,TRUE,TRUE
"4447","14C",11,1,"CI5",758,302,48,TRUE,TRUE
"4448","14C",11,3,"CI5",571,302,29,TRUE,TRUE
"4449","14C",11,6,"CI5",310,302,17,TRUE,TRUE
"4450","14C",11,9,"CI5",124,302,6,TRUE,TRUE
"4451","14C",11,11,"CI5",90,302,8,TRUE,TRUE
"4452","14C",11,14,"CI5",61,302,4,TRUE,TRUE
"4453","14C",11,1,"CI5",853,306,48,TRUE,TRUE
"4454","14C",11,3,"CI5",435,306,29,TRUE,TRUE
"4455","14C",11,6,"CI5",371,306,17,TRUE,TRUE
"4456","14C",11,9,"CI5",113,306,6,TRUE,TRUE
"4457","14C",11,11,"CI5",108,306,8,TRUE,TRUE
"4458","14C",11,14,"CI5",54,306,4,TRUE,TRUE
"4459","14C",11,1,"CI5",637,312,48,TRUE,TRUE
"4460","14C",11,3,"CI5",530,312,29,TRUE,TRUE
"4461","14C",11,6,"CI5",344,312,17,TRUE,TRUE
"4462","14C",11,9,"CI5",209,312,6,TRUE,TRUE
"4463","14C",11,11,"CI5",140,312,8,TRUE,TRUE
"4464","14C",11,14,"CI5",75,312,4,TRUE,TRUE
"4465","14C",11,1,"CI5",852,318,48,TRUE,TRUE
"4466","14C",11,3,"CI5",575,318,29,TRUE,TRUE
"4467","14C",11,6,"CI5",261,318,17,TRUE,TRUE
"4468","14C",11,9,"CI5",153,318,6,TRUE,TRUE
"4469","14C",11,11,"CI5",127,318,8,TRUE,TRUE
"4470","14C",11,14,"CI5",81,318,4,TRUE,TRUE
"4471","14C",11,1,"CI5",941,320,48,TRUE,TRUE
"4472","14C",11,3,"CI5",475,320,29,TRUE,TRUE
"4473","14C",11,6,"CI5",309,320,17,TRUE,TRUE
"4474","14C",11,9,"CI5",160,320,6,TRUE,TRUE
"4475","14C",11,11,"CI5",135,320,8,TRUE,TRUE
"4476","14C",11,14,"CI5",112,320,4,TRUE,TRUE
"4477","14C",11,1,"CI5",1073,323,48,TRUE,TRUE
"4478","14C",11,3,"CI5",607,323,29,TRUE,TRUE
"4479","14C",11,6,"CI5",273,323,17,TRUE,TRUE
"4480","14C",11,9,"CI5",143,323,6,TRUE,TRUE
"4481","14C",11,11,"CI5",98,323,8,TRUE,TRUE
"4482","14C",11,14,"CI5",76,323,4,TRUE,TRUE
"4483","14C",11,1,"CI5",611,325,48,TRUE,TRUE
"4484","14C",11,3,"CI5",483,325,29,TRUE,TRUE
"4485","14C",11,6,"CI5",265,325,17,TRUE,TRUE
"4486","14C",11,9,"CI5",82,325,6,TRUE,TRUE
"4487","14C",11,11,"CI5",78,325,8,TRUE,TRUE
"4488","14C",11,14,"CI5",69,325,4,TRUE,TRUE
"4489","14C",11,1,"CI5",772,341,48,TRUE,TRUE
"4490","14C",11,3,"CI5",442,341,29,TRUE,TRUE
"4491","14C",11,6,"CI5",286,341,17,TRUE,TRUE
"4492","14C",11,9,"CI5",202,341,6,TRUE,TRUE
"4493","14C",11,11,"CI5",61,341,8,TRUE,TRUE
"4494","14C",11,14,"CI5",36,341,4,TRUE,TRUE
"4495","14C",11,1,"CI5",680,344,48,TRUE,TRUE
"4496","14C",11,3,"CI5",426,344,29,TRUE,TRUE
"4497","14C",11,6,"CI5",393,344,17,TRUE,TRUE
"4498","14C",11,9,"CI5",227,344,6,TRUE,TRUE
"4499","14C",11,11,"CI5",112,344,8,TRUE,TRUE
"4500","14C",11,14,"CI5",55,344,4,TRUE,TRUE
"4501","14C",11,1,"CI5",804,345,48,TRUE,TRUE
"4502","14C",11,3,"CI5",477,345,29,TRUE,TRUE
"4503","14C",11,6,"CI5",313,345,17,TRUE,TRUE
"4504","14C",11,9,"CI5",99,345,6,TRUE,TRUE
"4505","14C",11,11,"CI5",75,345,8,TRUE,TRUE
"4506","14C",11,14,"CI5",54,345,4,TRUE,TRUE
"4507","14C",11,1,"CI5",781,354,48,TRUE,TRUE
"4508","14C",11,3,"CI5",699,354,29,TRUE,TRUE
"4509","14C",11,6,"CI5",437,354,17,TRUE,TRUE
"4510","14C",11,9,"CI5",171,354,6,TRUE,TRUE
"4511","14C",11,11,"CI5",157,354,8,TRUE,TRUE
"4512","14C",11,14,"CI5",107,354,4,TRUE,TRUE
"4513","14C",11,1,"CI5",841,360,48,TRUE,TRUE
"4514","14C",11,3,"CI5",558,360,29,TRUE,TRUE
"4515","14C",11,6,"CI5",270,360,17,TRUE,TRUE
"4516","14C",11,9,"CI5",137,360,6,TRUE,TRUE
"4517","14C",11,11,"CI5",131,360,8,TRUE,TRUE
"4518","14C",11,14,"CI5",59,360,4,TRUE,TRUE
"4519","14C",11,1,"CI5",880,361,48,TRUE,TRUE
"4520","14C",11,3,"CI5",557,361,29,TRUE,TRUE
"4521","14C",11,6,"CI5",295,361,17,TRUE,TRUE
"4522","14C",11,9,"CI5",172,361,6,TRUE,TRUE
"4523","14C",11,11,"CI5",117,361,8,TRUE,TRUE
"4524","14C",11,14,"CI5",42,361,4,TRUE,TRUE
"4525","14C",11,1,"CI5",778,363,48,TRUE,TRUE
"4526","14C",11,3,"CI5",451,363,29,TRUE,TRUE
"4527","14C",11,6,"CI5",233,363,17,TRUE,TRUE
"4528","14C",11,9,"CI5",149,363,6,TRUE,TRUE
"4529","14C",11,11,"CI5",135,363,8,TRUE,TRUE
"4530","14C",11,14,"CI5",129,363,4,TRUE,TRUE
"4531","14C",11,1,"CI5",879,366,48,TRUE,TRUE
"4532","14C",11,3,"CI5",440,366,29,TRUE,TRUE
"4533","14C",11,6,"CI5",285,366,17,TRUE,TRUE
"4534","14C",11,9,"CI5",171,366,6,TRUE,TRUE
"4535","14C",11,11,"CI5",148,366,8,TRUE,TRUE
"4536","14C",11,14,"CI5",82,366,4,TRUE,TRUE
"4537","14C",11,1,"CI5",831,388,48,TRUE,TRUE
"4538","14C",11,3,"CI5",511,388,29,TRUE,TRUE
"4539","14C",11,6,"CI5",295,388,17,TRUE,TRUE
"4540","14C",11,9,"CI5",140,388,6,TRUE,TRUE
"4541","14C",11,11,"CI5",100,388,8,TRUE,TRUE
"4542","14C",11,14,"CI5",55,388,4,TRUE,TRUE
"4543","14C",11,1,"CI5",664,389,48,TRUE,TRUE
"4544","14C",11,3,"CI5",351,389,29,TRUE,TRUE
"4545","14C",11,6,"CI5",254,389,17,TRUE,TRUE
"4546","14C",11,9,"CI5",136,389,6,TRUE,TRUE
"4547","14C",11,11,"CI5",133,389,8,TRUE,TRUE
"4548","14C",11,14,"CI5",88,389,4,TRUE,TRUE
"4549","14C",11,1,"CI5",703,392,48,TRUE,TRUE
"4550","14C",11,3,"CI5",353,392,29,TRUE,TRUE
"4551","14C",11,6,"CI5",285,392,17,TRUE,TRUE
"4552","14C",11,9,"CI5",156,392,6,TRUE,TRUE
"4553","14C",11,11,"CI5",135,392,8,TRUE,TRUE
"4554","14C",11,14,"CI5",66,392,4,TRUE,TRUE
"4555","14C",11,1,"CI5",804,408,48,TRUE,TRUE
"4556","14C",11,3,"CI5",482,408,29,TRUE,TRUE
"4557","14C",11,6,"CI5",265,408,17,TRUE,TRUE
"4558","14C",11,9,"CI5",167,408,6,TRUE,TRUE
"4559","14C",11,11,"CI5",114,408,8,TRUE,TRUE
"4560","14C",11,14,"CI5",92,408,4,TRUE,TRUE
"4561","14C",11,1,"CI5",988,418,48,TRUE,TRUE
"4562","14C",11,3,"CI5",549,418,29,TRUE,TRUE
"4563","14C",11,6,"CI5",372,418,17,TRUE,TRUE
"4564","14C",11,9,"CI5",189,418,6,TRUE,TRUE
"4565","14C",11,11,"CI5",127,418,8,TRUE,TRUE
"4566","14C",11,14,"CI5",84,418,4,TRUE,TRUE
"4567","14C",11,1,"CI5",914,424,48,TRUE,TRUE
"4568","14C",11,3,"CI5",505,424,29,TRUE,TRUE
"4569","14C",11,6,"CI5",407,424,17,TRUE,TRUE
"4570","14C",11,9,"CI5",135,424,6,TRUE,TRUE
"4571","14C",11,11,"CI5",98,424,8,TRUE,TRUE
"4572","14C",11,14,"CI5",41,424,4,TRUE,TRUE
"4573","14C",11,1,"CI5",784,427,48,TRUE,TRUE
"4574","14C",11,3,"CI5",478,427,29,TRUE,TRUE
"4575","14C",11,6,"CI5",318,427,17,TRUE,TRUE
"4576","14C",11,9,"CI5",212,427,6,TRUE,TRUE
"4577","14C",11,11,"CI5",148,427,8,TRUE,TRUE
"4578","14C",11,14,"CI5",95,427,4,TRUE,TRUE
"4579","14C",11,1,"CI5",813,430,48,TRUE,TRUE
"4580","14C",11,3,"CI5",504,430,29,TRUE,TRUE
"4581","14C",11,6,"CI5",234,430,17,TRUE,TRUE
"4582","14C",11,9,"CI5",144,430,6,TRUE,TRUE
"4583","14C",11,11,"CI5",111,430,8,TRUE,TRUE
"4584","14C",11,14,"CI5",93,430,4,TRUE,TRUE
"4585","14C",11,1,"CI5",743,431,48,TRUE,TRUE
"4586","14C",11,3,"CI5",452,431,29,TRUE,TRUE
"4587","14C",11,6,"CI5",294,431,17,TRUE,TRUE
"4588","14C",11,9,"CI5",147,431,6,TRUE,TRUE
"4589","14C",11,11,"CI5",119,431,8,TRUE,TRUE
